"Format","MoTeC CSV File",,,"Workbook",""
"Venue","fn_imola",,,"Worksheet",""
"Vehicle","ks_porsche_cayman_gt4_clubsport",,,"Vehicle Desc",""
"Driver","Andres Gutierrez",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Hard (H)",,,"Session","PRACTICE"
"Log Date","11/6/2026",,,"Origin Time","0,000","s"
"Log Time","8:39:00 p. m.",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","2571,350","s"
"Duration","2571,350","s",,"Start Distance","0,0","m"
"Range","entire outing",,,"End Distance","102154,1","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,04","0,74","0,01","419,4","-2,89","-3,85","-3,44","-3,30","-162,2","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","-0,37","0,59","-0,91","0,16","3,68","-0,07","-0,03","-3,89","100,0","0","0","26,63","0","0","0,0","0","0","0","0","3867","0","69,98","1","13,3","0","0","0,0","0,0","0,0","0,0","0","0","78,845","78,845","0,000","0,000","0","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","20,0","86,9","86,9","111,7","111,7","37,0","-4,6","7,9","0,0","0,0","0","-81,900","-35,5","93,8","14,9","13,3","19,8","21,0","0","1","100,0","0,00","0,00","0,00","0,00","2811","2598","4408","4732","312,1","312,8","326,6","325,6","22,71","22,71","22,71","22,71","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,12","-0,02","0,05","0,10","-0,1","-0,2","100,0","100,0","80,0","80,0","80,0","80,0","79,9","79,9","80,4","80,4","79,9","79,9","80,3","80,3","79,9","79,9","80,3","80,3","-2,60","2,34","0,01","-0,01","0,00","11,19","11,50","26,37","26,37","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,05","0,75","0,01","419,2","-2,86","-3,87","-3,45","-3,29","-161,9","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","-0,33","0,87","-0,91","0,02","4,10","-0,07","-0,04","-4,87","100,0","0","0","28,23","0","0","0,0","0","0","0","0","4100","0","69,98","1","14,8","1","0","0,0","0,0","0,0","0,0","0","0","78,905","78,905","0,000","0,000","1","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","111,1","87,2","87,2","111,2","111,2","37,0","-3,5","8,1","0,0","-0,0","0","-81,950","-37,8","93,8","14,8","13,4","19,8","21,0","0","1","100,0","0,00","0,00","0,00","0,00","2692","2524","4533","4865","312,5","313,0","326,3","325,2","22,71","22,71","22,71","22,71","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,15","0,02","0,23","0,28","-0,1","-0,2","100,0","100,0","80,0","80,0","80,0","80,0","79,8","79,8","80,6","80,6","79,8","79,8","80,5","80,5","79,8","79,8","80,4","80,5","-2,77","2,51","0,01","-0,01","0,00","12,45","12,85","27,98","27,98","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,05","0,75","0,03","418,9","-2,81","-3,89","-3,46","-3,29","-161,7","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","-0,29","0,71","-0,90","0,20","4,45","-0,08","-0,04","-5,77","100,0","0","0","29,65","0","0","0,0","0","0","0","0","4307","0","69,98","1","16,0","0","0","0,0","0,0","0,0","0,0","0","0","78,950","78,950","0,000","0,000","0","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","166,7","86,8","86,8","111,1","111,1","37,0","-4,8","8,2","0,0","-0,0","0","-82,000","-39,4","93,8","14,8","13,3","19,9","21,2","0","1","100,0","0,00","0,00","0,00","0,00","3029","2507","4543","4892","311,5","313,1","326,2","325,1","22,71","22,71","22,71","22,71","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,13","0,03","0,40","0,44","-0,1","-0,2","100,0","100,0","80,0","80,0","80,0","80,0","79,8","79,8","80,7","80,8","79,8","79,8","80,6","80,7","79,8","79,8","80,6","80,6","-2,90","2,63","0,01","-0,01","0,00","13,52","14,00","29,38","29,38","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,05","0,74","0,09","417,6","-2,87","-3,89","-3,44","-3,26","-161,5","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","-0,24","2,16","-0,86","0,99","4,81","-0,07","-0,07","-6,66","100,0","0","0","31,23","0","0","0,0","0","0","0","0","4536","0","69,98","1","17,3","1","0","0,0","0,0","0,0","0,0","0","0","79,000","79,000","0,000","0,000","1","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","166,7","84,5","84,5","111,1","111,1","37,0","-8,0","13,3","0,0","-0,0","0","-82,050","-40,0","93,8","15,8","13,8","19,8","21,4","0","1","100,0","0,00","0,00","0,00","0,00","3380","3107","4411","4968","310,3","311,2","326,6","324,9","22,71","22,71","22,71","22,71","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,07","0,06","0,53","0,56","-0,1","-0,1","100,0","100,0","80,0","80,0","80,0","80,0","79,8","79,8","80,9","80,9","79,8","79,8","80,8","80,8","79,8","79,8","80,7","80,8","-2,97","2,68","0,01","-0,02","0,00","14,64","15,20","30,92","30,92","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,05","0,76","0,06","417,5","-3,14","-3,88","-3,36","-3,24","-161,3","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","-0,09","3,90","-0,83","0,27","5,16","-0,07","-0,09","-7,66","100,0","0","0","32,99","0","0","0,0","0","0","0","0","4791","0","69,98","1","18,6","0","0","0,0","0,0","0,0","0,0","0","0","79,045","79,045","0,000","0,000","0","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","111,1","85,2","85,2","110,6","110,6","37,0","-5,3","11,4","0,0","-0,0","0","-82,100","-40,0","93,8","16,1","14,4","19,8","21,6","0","1","100,0","0,00","0,00","0,00","0,00","2790","2806","4584","5033","312,0","312,0","326,1","324,7","22,71","22,71","22,71","22,71","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,12","0,09","0,81","0,82","-0,1","-0,2","100,0","100,0","80,0","80,0","80,0","80,0","79,7","79,7","81,1","81,1","79,7","79,7","80,9","81,0","79,7","79,7","80,9","80,9","-2,97","2,68","0,01","-0,02","0,00","15,75","16,41","32,65","32,65","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,08","0,76","-0,07","419,3","-3,31","-3,89","-3,34","-3,26","-161,0","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","0,09","2,42","-0,86","-1,55","5,57","-0,06","-0,07","-8,69","100,0","0","0","35,02","0","0","0,0","0","0","0","0","5086","0","69,98","1","20,0","1","0","0,0","0,0","0,0","0,0","0","0","79,100","79,100","0,000","0,000","1","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","166,7","89,4","89,4","110,7","110,7","37,0","-0,6","9,6","0,0","-0,1","0","-82,150","-39,0","93,8","14,0","14,1","20,2","21,4","0","1","100,0","0,00","0,00","0,00","0,00","1405","2456","4778","4726","316,5","313,2","325,5","325,6","22,71","22,71","22,70","22,70","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,27","0,14","1,17","1,14","-0,2","-0,2","100,0","100,0","80,0","80,0","79,9","79,9","79,7","79,7","81,3","81,3","79,7","79,7","81,1","81,2","79,7","79,7","81,0","81,1","-2,90","2,63","0,00","-0,02","0,00","16,87","17,67","34,68","34,68","-45,0","12,6"
"0","1","1","0","0","0","1","0","100","0","1","1,175","26,0","0,0","0,00","0,000","68,0","0,0","26,0","26,0","26,0","26,0","0,10","0,73","-0,06","419,7","-3,16","-3,97","-3,25","-3,37","-160,7","-406,2","-84,7","0,00","0,00","0,00","0,00","0,01","-10,11","-10,11","0,14","0,26","-0,97","-2,61","5,92","-0,06","-0,03","-9,25","100,0","0","0","36,93","0","0","0,0","0","0","0","0","5364","0","69,98","1","21,3","0","0","0,0","0,0","0,0","0,0","0","0","79,150","79,150","0,000","0,000","0","70,00","354,3","7800","0,0","0,0","0,0","0,0","386,0","0,00","0","0","1","111,1","89,6","89,6","111,5","111,5","37,0","-0,6","14,6","0,0","-0,1","0","-82,200","-37,5","93,8","11,9","14,0","20,8","20,5","0","1","100,0","0,00","0,00","0,00","0,00","1663","2954","5003","4107","315,8","311,7","324,8","327,5","22,70","22,70","22,70","22,70","321,0","321,0","340,5","340,5","99,50","99,50","99,51","99,51","0,28","0,17","1,38","1,33","-0,2","-0,1","100,0","100,0","79,9","79,9","79,9","79,9","79,6","79,6","81,5","81,5","79,6","79,6","81,3","81,3","79,6","79,6","81,2","81,2","-2,77","2,53","-0,01","-0,00","0,00","17,87","18,72","36,56","36,56","-45,0","12,6"
